Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Shane Pinto,OTT,R,C,2000-11-12,Franklin Square,NY,USA,USA,75,204,2019,2,32,20202021,N,6,1,2,3
Jackson LaCombe,ANA,L,D,2001-01-09,Eden Prairie,MN,USA,USA,74,205,2019,2,39,20222023,N,6,0,1,1
Albert Johansson,DET,L,D,2001-01-04,Karlstad,--,SWE,SWE,72,168,2019,2,60,20242025,N,6,0,0,0
Valtteri Puustinen,PIT,R,R,1999-06-04,Kuopio,--,FIN,FIN,70,182,2019,7,203,20212022,N,6,1,0,1
Juuso Parssinen,NSH,L,C,2001-02-01,Hameenlinna,--,FIN,FIN,75,212,2019,7,210,20222023,N,6,2,1,3
Emil Andrae,PHI,L,D,2002-02-23,Vastervik,--,SWE,SWE,69,189,2020,2,54,20232024,N,6,0,1,1
Tristan Luneau,ANA,R,D,2004-01-12,Victoriaville,QC,CAN,CAN,73,202,2022,2,53,20232024,N,6,0,0,0
Brendan Smith,DAL,L,D,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,1,27,20112012,N,5,0,0,0
David Perron,OTT,R,L,1988-05-28,Sherbrooke,QC,CAN,CAN,72,198,2007,1,26,20072008,N,5,0,0,0
William Karlsson,VGK,L,C,1993-01-08,Marsta,--,SWE,SWE,72,190,2011,2,53,20142015,N,5,2,4,6
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,5,0,0,0
Kurtis MacDermid,NJD,L,L,1994-03-25,Quebec City,QC,CAN,CAN,77,233,--,--,--,20172018,N,5,0,0,0
Hudson Fasching,NYI,R,R,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20152016,N,5,0,0,0
Anthony Duclair,NYI,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,72,200,2013,3,80,20142015,N,5,2,1,3
Scott Perunovich,STL,L,D,1998-08-18,Hibbing,MN,USA,USA,70,175,2018,2,45,20212022,N,5,0,0,0
Aatu Raty,VAN,L,C,2002-11-14,Oulu,--,FIN,FIN,74,190,2021,2,52,20222023,N,5,0,1,1
Logan Mailloux,MTL,R,D,2003-04-15,Belle River,ON,CAN,CAN,75,213,2021,1,31,20232024,N,5,1,2,3
Zack Ostapchuk,OTT,L,C,2003-05-29,St. Albert,AB,CAN,CAN,76,212,2021,2,39,20232024,N,5,0,1,1
Adam Klapka,CGY,R,R,2000-09-14,Praha,--,CZE,CZE,80,235,--,--,--,20232024,N,5,0,0,0
Samuel Honzek,CGY,L,L,2004-11-12,Trencin,--,SVK,SVK,76,186,2023,1,16,20242025,N,5,0,0,0
Alec Martinez,CHI,L,D,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,4,95,20092010,N,4,0,1,1
Nick Leddy,STL,L,D,1991-03-20,Eden Prairie,MN,USA,USA,72,205,2009,1,16,20102011,N,4,0,0,0
Justin Dowling,NJD,L,C,1990-10-01,Calgary,AB,CAN,CAN,70,180,--,--,--,20162017,N,4,0,1,1
Derek Forbort,VAN,L,D,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20152016,N,4,0,1,1
T.J. Tynan,COL,R,C,1992-02-25,Orland Park,IL,USA,USA,68,160,2011,3,66,20162017,N,4,0,0,0
Tyler Motte,DET,L,C,1995-03-10,St. Clair,MI,USA,USA,70,194,2013,4,121,20162017,N,4,0,0,0
Haydn Fleury,WPG,L,D,1996-07-08,Carlyle,SK,CAN,CAN,76,207,2014,1,7,20172018,N,4,0,0,0
Victor Olofsson,VGK,L,L,1995-07-18,Ornskoldsvik,--,SWE,SWE,71,180,2014,7,181,20182019,N,4,3,0,3
Vince Dunn,SEA,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,200,2015,2,56,20172018,N,4,1,2,3
Oliver Kylington,COL,L,D,1997-05-19,Stockholm,--,SWE,SWE,72,183,2015,2,60,20152016,N,4,0,0,0
Caleb Jones,LAK,L,D,1997-06-06,Arlington,TX,USA,USA,73,194,2015,4,117,20182019,N,4,0,0,0
Max Jones,BOS,L,L,1998-02-17,Rochester,MI,USA,USA,75,216,2016,1,24,20182019,N,4,0,0,0
Michael Carcone,UTA,L,L,1996-05-19,Ajax,ON,CAN,CAN,69,182,--,--,--,20212022,N,4,0,0,0
Timothy Liljegren,SJS,R,D,1999-04-30,Kristianstad,--,SWE,SWE,73,201,2017,1,17,20192020,N,4,0,0,0
Sean Durzi,UTA,R,D,1998-10-21,Mississauga,ON,CAN,CAN,73,199,2018,2,52,20212022,N,4,0,2,2
Alexander Alexeyev,WSH,L,D,1999-11-15,St. Petersburg,--,RUS,RUS,76,213,2018,1,31,20212022,N,4,0,0,0
John Ludvig,COL,L,D,2000-08-02,Liberec,--,CZE,CZE,73,210,2019,3,69,20232024,N,4,0,1,1
Blake Lizotte,PIT,L,C,1997-12-13,Lindstrom,MN,USA,USA,69,173,--,--,--,20182019,N,4,2,0,2
Kaedan Korczak,VGK,R,D,2001-01-29,Yorkton,SK,CAN,CAN,75,203,2019,2,41,20212022,N,4,0,2,2
Artem Zub,OTT,R,D,1995-10-03,Khabarovsk,--,RUS,RUS,75,200,--,--,--,20202021,N,4,0,0,0
Nils Aman,VAN,L,C,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20222023,N,4,0,2,2
Kent Johnson,CBJ,L,C,2002-10-18,Port Moody,BC,CAN,CAN,72,180,2021,1,5,20212022,N,4,2,3,5
David Jiricek,CBJ,R,D,2003-11-28,Klatovy,--,CZE,CZE,76,204,2022,1,6,20222023,N,4,0,1,1
Jett Luchanko,PHI,R,C,2006-08-21,London,ON,CAN,CAN,71,180,2024,1,13,20242025,N,4,0,0,0
Matt Martin,NYI,L,L,1989-05-08,Windsor,ON,CAN,CAN,75,215,2008,5,148,20092010,N,3,0,1,1
Erik Gudbranson,CBJ,R,D,1992-01-07,Ottawa,ON,CAN,CAN,77,222,2010,1,3,20112012,N,3,0,0,0
Liam O'Brien,UTA,L,C,1994-07-29,Halifax,NS,CAN,CAN,73,215,--,--,--,20142015,N,3,0,0,0
Conor Sheary,TBL,L,L,1992-06-08,Winchester,MA,USA,USA,68,182,--,--,--,20152016,N,3,0,0,0
Tomas Nosek,FLA,L,L,1992-09-01,Pardubice,--,CZE,CZE,75,199,--,--,--,20152016,N,3,1,1,2
Sonny Milano,WSH,L,L,1996-05-12,Massapequa,NY,USA,USA,72,194,2014,1,16,20152016,N,3,0,0,0
Nicolas Aube-Kubel,BUF,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,72,213,2014,2,48,20182019,N,3,0,0,0
Noah Juulsen,VAN,R,D,1997-04-02,Surrey,BC,CAN,CAN,74,201,2015,1,26,20172018,N,3,0,0,0
Dennis Gilbert,BUF,L,D,1996-10-30,Buffalo,NY,USA,USA,74,216,2015,3,91,20182019,N,3,0,0,0
Ryan Shea,PIT,L,D,1997-02-11,Milton,MA,USA,USA,73,220,2015,4,121,20232024,N,3,0,0,0
Michael Pezzetta,MTL,L,L,1998-03-13,Toronto,ON,CAN,CAN,73,219,2016,6,160,20212022,N,3,0,0,0
Kailer Yamamoto,UTA,R,R,1998-09-29,Spokane,WA,USA,USA,69,178,2017,1,22,20172018,N,3,0,0,0
Jacob Bryson,BUF,L,D,1997-11-18,London,ON,CAN,CAN,69,177,2017,4,99,20202021,N,3,0,0,0
Grant Hutton,NYI,R,D,1995-07-25,Carmel,IN,USA,USA,75,210,--,--,--,20212022,N,3,0,0,0
Noah Philp,EDM,R,C,1998-08-31,Canmore,AB,CAN,CAN,75,198,--,--,--,20242025,N,3,0,1,1
Dmitri Voronkov,CBJ,L,L,2000-09-10,Angarsk,--,RUS,RUS,77,227,2019,4,114,20232024,N,3,0,0,0
Isaak Phillips,CHI,L,D,2001-09-28,Barrie,ON,CAN,CAN,75,205,2020,5,141,20212022,N,3,1,0,1
Ethan Cardwell,SJS,R,R,2002-08-30,Oshawa,ON,CAN,CAN,71,180,2021,4,121,20242025,N,3,0,0,0
Matt Rempe,NYR,R,C,2002-06-29,Calgary,AB,CAN,CAN,81,255,2020,6,165,20232024,N,3,0,0,0
Rutger McGroarty,PIT,L,R,2004-03-30,Lincoln,NE,USA,USA,73,203,2022,1,14,20242025,N,3,0,0,0
Macklin Celebrini,SJS,L,C,2006-06-13,North Vancouver,BC,CAN,CAN,72,190,2024,1,1,20242025,N,3,3,1,4
Nikita Prishchepov,COL,L,C,2004-02-20,Orenburg,--,RUS,RUS,73,194,2024,7,217,20242025,N,3,0,0,0
Tyler Johnson,BOS,R,C,1990-07-29,Spokane,WA,USA,USA,68,185,--,--,--,20122013,N,2,0,0,0
Austin Watson,DET,R,L,1992-01-13,Ann Arbor,MI,USA,USA,76,238,2010,1,18,20122013,N,2,0,0,0
Michael Sgarbossa,WSH,L,C,1992-07-25,Campbellville,ON,CAN,CAN,72,179,--,--,--,20122013,N,2,0,0,0
Jimmy Vesey,NYR,L,L,1993-05-26,Boston,MA,USA,USA,74,203,2012,3,66,20162017,N,2,0,0,0
Artturi Lehkonen,COL,L,L,1995-07-04,Piikkio,--,FIN,FIN,71,179,2013,2,55,20162017,N,2,1,1,2
Joel Hanley,CGY,L,D,1991-06-08,Keswick,ON,CAN,CAN,71,186,--,--,--,20152016,N,2,0,0,0
Matt Roy,WSH,R,D,1995-03-01,Detroit,MI,USA,USA,74,210,2015,7,194,20182019,N,2,0,1,1
Riley Tufte,BOS,L,L,1998-04-10,Coon Rapids,MN,USA,USA,78,230,2016,1,25,20212022,N,2,0,0,0
Givani Smith,SJS,L,R,1998-02-27,Toronto,ON,CAN,CAN,74,214,2016,2,46,20192020,N,2,0,0,0
Drake Caggiula,EDM,L,L,1994-06-20,Pickering,ON,CAN,CAN,70,179,--,--,--,20162017,N,2,0,1,1
Alex Barré-Boulet,MTL,L,C,1997-05-21,Montmagny,QC,CAN,CAN,70,178,--,--,--,20202021,N,2,0,0,0
Cale Fleury,SEA,R,D,1998-11-19,Carlyle,SK,CAN,CAN,73,204,2017,3,87,20192020,N,2,0,0,0
Urho Vaakanainen,ANA,L,D,1999-01-01,Joensuu,--,FIN,FIN,74,205,2017,1,18,20182019,N,2,0,0,0
Liam Foudy,NYI,L,C,2000-02-04,Scarborough,ON,CAN,CAN,73,186,2018,1,18,20192020,N,2,0,0,0
Cole Reinhardt,OTT,L,L,2000-02-01,Calgary,AB,CAN,CAN,73,207,2020,6,181,20212022,N,2,0,1,1
Gage Goncalves,TBL,L,C,2001-01-16,Mission,BC,CAN,CAN,73,184,2020,2,62,20232024,N,2,0,0,0
Isaiah George,NYI,L,D,2004-02-15,Oakville,ON,CAN,CAN,73,196,2022,4,98,20242025,N,2,0,0,0
Ben Hutton,VGK,L,D,1993-04-20,Brockville,ON,CAN,CAN,75,209,2012,5,147,20152016,N,1,0,0,0
Chad Ruhwedel,NYR,R,D,1990-05-07,San Diego,CA,USA,USA,71,189,--,--,--,20122013,N,1,0,0,0
John Hayden,SEA,R,C,1995-02-14,Chicago,IL,USA,USA,75,223,2013,3,74,20162017,N,1,0,0,0
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,1,0,0,0
Anthony Richard,PHI,L,C,1996-12-20,Trois-Rivières,QC,CAN,CAN,70,185,2015,4,100,20182019,N,1,0,0,0
Jansen Harkins,ANA,L,C,1997-05-23,Cleveland,OH,USA,USA,73,199,2015,2,47,20192020,N,1,0,0,0
Philippe Myers,TOR,R,D,1997-01-25,Moncton,NB,CAN,CAN,77,219,--,--,--,20182019,N,1,0,0,0
Julien Gauthier,NYI,R,R,1997-10-15,Pointe-aux-Trembles,QC,CAN,CAN,76,225,2016,1,21,20192020,N,1,0,0,0
David Gustafsson,WPG,L,C,2000-04-11,Tingsryd,--,SWE,SWE,74,196,2018,2,60,20192020,N,1,0,0,0
Daniil Misyul,NJD,L,D,2000-10-20,Minsk,--,BLR,BLR,75,176,2019,3,70,20242025,N,1,0,0,0
Auston Matthews,TOR,L,C,1997-09-17,San Ramon,CA,USA,USA,75,217,2016,1,1,20162017,N,13,5,6,11
Carl Grundstrom,SJS,L,R,1997-12-01,Umea,--,SWE,SWE,72,200,2016,2,57,20182019,N,13,0,2,2
Brett Howden,VGK,L,C,1998-03-29,Calgary,AB,CAN,CAN,74,201,2016,1,27,20182019,N,13,6,1,7
Andrew Peeke,BOS,R,D,1998-03-17,Parkland,FL,USA,USA,75,214,2016,2,34,20192020,N,13,0,2,2
Noah Gregor,OTT,L,L,1998-07-28,Beaumont,AB,CAN,CAN,72,201,2016,4,111,20192020,N,13,2,0,2
Michael Eyssimont,TBL,L,C,1996-09-09,Littleton,CO,USA,USA,72,191,2016,5,142,20212022,N,13,0,1,1
Justin Brazeau,BOS,R,R,1998-02-02,New Liskeard,ON,CAN,CAN,77,220,--,--,--,20232024,N,13,4,1,5
Josh Norris,OTT,L,C,1999-05-05,Oxford,MI,USA,USA,74,196,2017,1,19,20192020,N,13,4,4,8
David Kampf,TOR,L,C,1995-01-12,Chomutov,--,CZE,CZE,74,193,--,--,--,20172018,N,13,0,2,2
Drake Batherson,OTT,R,R,1998-04-27,Fort Wayne,IN,USA,CAN,75,200,2017,4,121,20182019,N,13,6,7,13
Zach Whitecloud,VGK,R,D,1996-11-28,Brandon,MB,CAN,CAN,74,210,--,--,--,20172018,N,13,1,0,1
Brady Tkachuk,OTT,L,L,1999-09-16,Scottsdale,AZ,USA,USA,76,225,2018,1,4,20182019,N,13,7,9,16
Rasmus Kupari,WPG,R,C,2000-03-15,Kotka,--,FIN,FIN,74,201,2018,1,20,20202021,N,13,1,0,1
Jakub Lauko,MIN,L,C,2000-03-28,Prague,--,CZE,CZE,73,193,2018,3,77,20222023,N,13,2,2,4
Peyton Krebs,BUF,L,C,2001-01-26,Calgary,AB,CAN,CAN,72,186,2019,1,17,20202021,N,13,1,3,4
Alex Turcotte,LAK,L,C,2001-02-26,Elk Grove,IL,USA,USA,71,185,2019,1,5,20212022,N,13,1,4,5
Matt Boldy,MIN,L,L,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,13,8,7,15
Pavel Dorofeyev,VGK,L,L,2000-10-26,Nizhny Tagil,--,RUS,RUS,73,194,2019,3,79,20212022,N,13,7,3,10
Tye Kartye,SEA,L,L,2001-04-30,Kingston,ON,CAN,CAN,71,202,--,--,--,20232024,N,13,1,0,1
Marco Rossi,MIN,L,C,2001-09-23,Feldkirch,--,AUT,AUT,69,182,2020,1,9,20212022,N,13,3,8,11
Tyler Kleven,OTT,L,D,2002-01-10,Fargo,ND,USA,USA,77,221,2020,2,44,20222023,N,13,0,1,1
Jack Quinn,BUF,R,R,2001-09-19,Ottawa,ON,CAN,CAN,73,185,2020,1,8,20212022,N,13,1,3,4
Jake Sanderson,OTT,L,D,2002-07-08,Whitefish,MT,USA,USA,74,204,2020,1,5,20222023,N,13,1,8,9
Tim Stützle,OTT,L,C,2002-01-15,Viersen,--,DEU,DEU,72,192,2020,1,3,20202021,N,13,6,13,19
Brock Faber,MIN,R,D,2002-08-22,Maple Grove,MN,USA,USA,73,200,2020,2,45,20222023,N,13,2,5,7
Alexander Holtz,VGK,R,R,2002-01-23,Stockholm,--,SWE,SWE,72,198,2020,1,7,20212022,N,13,1,5,6
Tyson Foerster,PHI,R,R,2002-01-18,Alliston,ON,CAN,CAN,74,215,2020,1,23,20222023,N,13,2,1,3
Marat Khusnutdinov,MIN,L,C,2002-07-17,Moscow,--,RUS,RUS,71,176,2020,2,37,20232024,N,13,0,2,2
Bobby McMann,TOR,L,C,1996-06-15,Wainwright,AB,CAN,CAN,74,215,--,--,--,20222023,N,13,3,1,4
Emil Heineman,MTL,L,L,2001-11-16,Leksand,--,SWE,SWE,74,198,2020,2,43,20232024,N,13,2,1,3
Matthew Poitras,BOS,R,C,2004-03-10,Ajax,ON,CAN,CAN,71,180,2022,2,54,20232024,N,13,1,3,4
Matvei Michkov,PHI,L,R,2004-12-09,Perm,--,RUS,RUS,70,172,2023,1,7,20242025,N,13,4,6,10
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,228,2003,1,20,20032004,N,12,0,5,5
Alex Ovechkin,WSH,R,L,1985-09-17,Moscow,--,RUS,RUS,75,238,2004,1,1,20052006,N,12,8,8,16
Jordan Staal,CAR,L,C,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,1,2,20062007,N,12,1,1,2
Alex Killorn,ANA,L,L,1989-09-14,Halifax,NS,CAN,CAN,73,192,2007,3,77,20122013,N,12,2,1,3
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,75,206,2007,5,129,20092010,N,12,3,3,6
Patrick Kane,DET,L,R,1988-11-19,Buffalo,NY,USA,USA,70,177,2007,1,1,20072008,N,12,2,6,8
Evgenii Dadonov,DAL,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,71,188,2007,3,71,20092010,N,12,2,2,4
Tyler Myers,VAN,R,D,1990-02-01,Houston,TX,USA,CAN,80,229,2008,1,12,20092010,N,12,0,2,2
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,12,2,7,9
TJ Brodie,CHI,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,12,0,2,2
Marcus Johansson,MIN,L,L,1990-10-06,Landskrona,--,SWE,SWE,73,203,2009,1,24,20102011,N,12,1,2,3
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,71,212,2009,1,3,20092010,N,12,7,8,15
Calvin de Haan,COL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,12,0,1,1
Chris Kreider,NYR,L,L,1991-04-30,Boxford,MA,USA,USA,75,230,2009,1,19,20122013,N,12,7,0,7
Reilly Smith,NYR,L,R,1991-04-01,Mimico,ON,CAN,CAN,73,185,2009,3,69,20112012,N,12,2,6,8
Dmitry Orlov,CAR,L,D,1991-07-23,Novokuznetsk,--,RUS,RUS,71,214,2009,2,55,20112012,N,12,3,5,8
Brian Dumoulin,ANA,L,D,1991-09-06,Biddeford,ME,USA,USA,76,214,2009,2,51,20132014,N,12,0,2,2
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,12,0,2,2
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20152016,N,12,4,2,6
Radko Gudas,ANA,R,D,1990-06-05,Prague,--,CZE,CZE,72,208,2010,3,66,20122013,N,12,0,0,0
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,74,210,2010,1,12,20102011,N,12,0,2,2
Sam Carrick,NYR,R,C,1992-02-04,Markham,ON,CAN,CAN,72,202,2010,5,144,20142015,N,12,1,1,2
Colin Blackwell,DAL,R,C,1993-03-28,North Andover,MA,USA,USA,68,190,2011,7,194,20182019,N,12,1,2,3
Sean Kuraly,CBJ,L,C,1993-01-20,Niagara Falls,NY,USA,USA,74,215,2011,5,133,20162017,N,12,1,2,3
Vincent Trocheck,NYR,R,C,1993-07-11,Pittsburgh,PA,USA,USA,71,188,2011,3,64,20132014,N,12,3,6,9
Ryan Strome,ANA,R,C,1993-07-11,Mississauga,ON,CAN,CAN,73,192,2011,1,5,20132014,N,12,3,3,6
Mika Zibanejad,NYR,R,C,1993-04-18,Stockholm,--,SWE,SWE,74,203,2011,1,6,20112012,N,12,2,8,10
J.T. Miller,VAN,L,C,1993-03-14,East Palestine,OH,USA,USA,73,218,2011,1,15,20122013,N,12,5,6,11
Mark Jankowski,NSH,L,L,1994-09-13,Hamilton,ON,CAN,CAN,76,212,2012,1,21,20162017,N,12,0,1,1
Tom Wilson,WSH,R,R,1994-03-29,Toronto,ON,CAN,CAN,76,220,2012,1,16,20132014,N,12,6,3,9
Jacob Trouba,NYR,R,D,1994-02-26,Rochester,MI,USA,USA,75,212,2012,1,9,20132014,N,12,0,5,5
Esa Lindell,DAL,L,D,1994-05-23,Vantaa,--,FIN,FIN,75,217,2012,3,74,20152016,N,12,1,3,4
Shayne Gostisbehere,CAR,L,D,1993-04-20,Pembroke Pines,FL,USA,USA,71,183,2012,3,78,20142015,N,12,4,5,9
Jordan Martinook,CAR,L,L,1992-07-25,Brandon,MB,CAN,CAN,73,208,2012,2,58,20142015,N,12,2,3,5
Damon Severson,CBJ,R,D,1994-08-07,Melville,SK,CAN,CAN,74,204,2012,2,60,20142015,N,12,3,4,7
Teddy Blueger,VAN,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,12,2,4,6
Brock McGinn,ANA,L,L,1994-02-02,Fergus,ON,CAN,CAN,72,191,2012,2,47,20152016,N,12,2,2,4
Jaccob Slavin,CAR,L,D,1994-05-01,Denver,CO,USA,USA,75,207,2012,4,120,20152016,N,12,1,4,5
Carson Soucy,VAN,L,D,1994-07-27,Viking,AB,CAN,CAN,77,208,2013,5,137,20172018,N,12,0,1,1
Andrew Copp,DET,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,12,5,2,7
Michael McCarron,NSH,R,C,1995-03-07,Grosse Pointe,MI,USA,USA,78,232,2013,1,25,20152016,N,12,1,1,2
Shea Theodore,VGK,L,D,1995-08-03,Aldergrove,BC,CAN,CAN,74,197,2013,1,26,20152016,N,12,1,9,10
William Carrier,CAR,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20162017,N,12,1,2,3
Sean Monahan,CBJ,L,C,1994-10-12,Brampton,ON,CAN,CAN,74,197,2013,1,6,20132014,N,12,6,5,11
Curtis Lazar,NJD,R,C,1995-02-02,Salmon Arm,BC,CAN,CAN,72,203,2013,1,17,20142015,N,12,1,1,2
Trevor van Riemsdyk,WSH,R,D,1991-07-24,Middletown,NJ,USA,USA,75,191,--,--,--,20142015,N,12,0,7,7
Dylan Larkin,DET,L,C,1996-07-30,Waterford,MI,USA,USA,73,199,2014,1,15,20152016,N,12,8,2,10
Robby Fabbri,ANA,L,C,1996-01-22,Mississauga,ON,CAN,CAN,71,185,2014,1,21,20152016,N,12,1,0,1
Brayden Point,TBL,R,C,1996-03-13,Calgary,AB,CAN,CAN,71,175,2014,3,79,20162017,N,12,8,5,13
Danton Heinen,VAN,L,L,1995-07-05,Langley,BC,CAN,CAN,74,195,2014,4,116,20162017,N,12,3,3,6
Andrew Mangiapane,WSH,L,L,1996-04-04,Toronto,ON,CAN,CAN,70,184,2015,6,166,20172018,N,12,3,1,4
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,180,2015,2,35,20162017,N,12,3,9,12
Tommy Novak,NSH,L,C,1997-04-28,St. Paul,MN,USA,USA,73,179,2015,3,85,20212022,N,12,3,1,4
Dylan Strome,WSH,L,C,1997-03-07,Mississauga,ON,CAN,CAN,75,200,2015,1,3,20162017,N,12,4,15,19
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,12,6,5,11
Roope Hintz,DAL,L,C,1996-11-17,Nokia,--,FIN,FIN,75,213,2015,2,49,20182019,N,12,4,4,8
Jack Roslovic,CAR,R,C,1997-01-29,Columbus,OH,USA,USA,73,198,2015,1,25,20162017,N,12,9,1,10
Zach Werenski,CBJ,L,D,1997-07-19,Grosse Pointe,MI,USA,USA,74,211,2015,1,8,20162017,N,12,3,6,9
Jake DeBrusk,VAN,L,L,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,12,3,4,7
Ivan Provorov,CBJ,L,D,1997-01-13,Yaroslavl,--,RUS,RUS,73,213,2015,1,7,20162017,N,12,0,3,3
Artemi Panarin,NYR,R,L,1991-10-30,Korkino,--,RUS,RUS,72,177,--,--,--,20152016,N,12,9,10,19
Derek Ryan,EDM,R,C,1986-12-29,Spokane,WA,USA,USA,70,185,--,--,--,20152016,N,12,0,0,0
Conor Garland,VAN,R,R,1996-03-11,Scituate,MA,USA,USA,70,165,2015,5,123,20182019,N,12,4,7,11
Troy Terry,ANA,R,R,1997-09-10,Denver,CO,USA,USA,72,191,2015,5,148,20172018,N,12,5,5,10
Adam Gaudette,OTT,R,R,1996-10-03,Braintree,MA,USA,USA,73,187,2015,5,149,20172018,N,12,6,1,7
Jalen Chatfield,CAR,R,D,1996-05-15,Ypsilanti,MI,USA,USA,73,199,--,--,--,20202021,N,12,0,4,4
Adam Fox,NYR,R,D,1998-02-17,Jericho,NY,USA,USA,71,180,2016,3,66,20192020,N,12,0,9,9
Alex DeBrincat,DET,R,R,1997-12-18,Farmington Hills,MI,USA,USA,68,180,2016,2,39,20172018,N,12,6,5,11
Morgan Frost,PHI,L,C,1999-05-14,Aurora,ON,CAN,CAN,72,193,2017,1,27,20192020,N,14,1,5,6
Dylan Samberg,WPG,L,D,1999-01-24,Saginaw,MN,USA,USA,76,216,2017,2,43,20212022,N,14,3,2,5
Cale Makar,COL,R,D,1998-10-30,Calgary,AB,CAN,CAN,72,187,2017,1,4,20192020,N,14,5,18,23
Alex Iafallo,WPG,L,L,1993-12-21,Eden,NY,USA,USA,72,201,--,--,--,20172018,N,14,1,3,4
Neal Pionk,WPG,R,D,1995-07-29,Omaha,NE,USA,USA,72,190,--,--,--,20172018,N,14,3,10,13
Eetu Luostarinen,FLA,L,C,1998-09-02,Siilinjarvi,--,FIN,FIN,75,191,2017,2,42,20192020,N,14,3,4,7
Morgan Barron,WPG,L,C,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20202021,N,14,0,1,1
Parker Kelly,COL,L,C,1999-05-14,Camrose,AB,CAN,CAN,73,185,--,--,--,20202021,N,14,0,1,1
Joel Farabee,PHI,L,L,2000-02-25,Syracuse,NY,USA,USA,72,186,2018,1,14,20192020,N,14,2,4,6
Philipp Kurashev,CHI,L,C,1999-10-12,Munsingen,--,CHE,CHE,72,190,2018,4,120,20202021,N,14,2,1,3
Ryan McLeod,BUF,L,C,1999-09-21,Mississauga,ON,CAN,CAN,75,188,2018,2,40,20202021,N,14,4,5,9
Evan Bouchard,EDM,R,D,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20182019,N,14,3,4,7
Rasmus Dahlin,BUF,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,204,2018,1,1,20182019,N,14,2,8,10
Barrett Hayton,UTA,L,C,2000-06-09,Peterborough,ON,CAN,CAN,73,200,2018,1,5,20192020,N,14,5,3,8
Jack McBain,UTA,L,C,2000-01-06,Toronto,ON,CAN,CAN,76,219,2018,3,63,20212022,N,14,3,3,6
Kevin Bahl,CGY,L,D,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,14,0,6,6
Noah Dobson,NYI,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,14,0,6,6
Michael Kesselring,UTA,R,D,2000-01-13,New Hampton,NH,USA,USA,76,215,2018,6,164,20222023,N,14,3,4,7
Martin Pospisil,CGY,L,C,1999-11-19,Zvolen,--,SVK,SVK,74,173,2018,4,105,20232024,N,14,1,4,5
Nikolai Kovalenko,COL,L,R,1999-10-17,Raleigh,NC,USA,USA,70,180,2018,6,171,20242025,N,14,2,4,6
Simon Benoit,TOR,L,D,1998-09-19,Laval,QC,CAN,CAN,76,211,--,--,--,20202021,N,14,0,1,1
Brayden Pachal,CGY,R,D,1999-08-23,Estevan,SK,CAN,CAN,74,202,--,--,--,20212022,N,14,0,1,1
